id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
30520,146345,2025-11-14,10,2671,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,10,1,Molde,2,1,238,15,2,1,3,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30521,146558,2025-11-18,14,4758,1,2667,Pep Set,Carrossel,Silica,24,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30522,146558,2025-11-18,14,4758,2,2668,Pep Set,Carrossel,Silica,32,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30523,146558,2025-11-18,14,4758,3,2669,Pep Set,Carrossel,Silica,23,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30524,146558,2025-11-18,14,4758,4,2670,Pep Set,Carrossel,Silica,11,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30525,146558,2025-11-18,14,4758,5,2671,Pep Set,Carrossel,Silica,10,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30526,146558,2025-11-18,14,4758,6,2672,Pep Set,Carrossel,Silica,10,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30527,146558,2025-11-18,14,4758,7,2673,Pep Set,Carrossel,Silica,4,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30528,146558,2025-11-18,14,4758,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,14,0,21,7,1,10,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30529,146610,2025-11-13,13,5155,1,2971,Pep Set,Carrossel,Silica,23,1,Molde,1,1,216,0,12,12,1,15,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30530,146611,2025-11-17,15,5155,1,2971,Pep Set,Carrossel,Silica,23,1,Molde,1,1,216,0,12,12,1,15,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30531,146776,2025-11-12,9,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30532,146777,2025-11-14,15,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30533,146778,2025-11-17,11,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30534,146784,2025-11-17,4,4135,1,2301,Cold Box Gasado,Cold Box Pequena,Silica,6,1,peça,1,2,84,48,36,36,3,90,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30535,146784,2025-11-17,4,4135,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,84,0,1,1,1,1,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30536,146791,2025-11-13,8,4748,1,2647,Pep Set,Carrossel,Silica,14,1,peça,1,1,36,2,34,34,1,43,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30537,146856,2025-11-17,8,3333,1,1843,Cold Box Gasado,Cold Box Pequena,Silica,0,1,peça,2,2,130,0,130,65,3,163,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30538,146923,2025-11-14,11,2671,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,10,1,Molde,2,1,238,0,17,9,3,21,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30539,146962,2025-11-07,8,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-03,2025-11-05,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30540,146963,2025-11-10,11,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-04,2025-11-06,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30541,146964,2025-11-11,13,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-05,2025-11-07,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30542,146965,2025-11-12,12,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30543,146966,2025-11-13,11,4292,1,1755,Cold Box Soprado,Sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30544,146966,2025-11-13,11,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30545,146967,2025-11-14,16,4292,1,1755,Cold Box Soprado,Sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30546,146967,2025-11-14,16,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30547,146968,2025-11-17,14,4292,1,1755,Cold Box Soprado,Sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30548,146968,2025-11-17,14,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30549,146969,2025-11-18,15,4292,1,1755,Cold Box Soprado,Sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30550,146969,2025-11-18,15,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30551,146995,2025-11-12,5,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30552,146995,2025-11-12,5,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30553,146995,2025-11-12,5,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30554,146995,2025-11-12,5,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30555,146996,2025-11-13,3,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30556,146996,2025-11-13,3,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30557,146996,2025-11-13,3,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30558,146996,2025-11-13,3,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30559,146997,2025-11-14,5,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30560,146997,2025-11-14,5,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30561,146997,2025-11-14,5,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30562,146997,2025-11-14,5,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30563,146998,2025-11-17,1,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30564,146998,2025-11-17,1,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30565,146998,2025-11-17,1,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30566,146998,2025-11-17,1,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30567,146999,2025-11-17,12,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30568,146999,2025-11-17,12,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30569,146999,2025-11-17,12,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30570,146999,2025-11-17,12,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30571,147000,2025-11-18,1,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30572,147000,2025-11-18,1,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30573,147000,2025-11-18,1,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30574,147000,2025-11-18,1,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30575,147001,2025-11-18,12,4689,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30576,147001,2025-11-18,12,4689,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30577,147001,2025-11-18,12,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30578,147001,2025-11-18,12,4689,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30579,147041,2025-11-12,5,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,5,3,3,15,45,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30580,147041,2025-11-12,5,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30581,147041,2025-11-12,5,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30582,147041,2025-11-12,5,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30583,147041,2025-11-12,5,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30584,147042,2025-11-13,3,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30585,147042,2025-11-13,3,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30586,147042,2025-11-13,3,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30587,147042,2025-11-13,3,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30588,147042,2025-11-13,3,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30589,147043,2025-11-14,5,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30590,147043,2025-11-14,5,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30591,147043,2025-11-14,5,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30592,147043,2025-11-14,5,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30593,147043,2025-11-14,5,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30594,147044,2025-11-17,1,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30595,147044,2025-11-17,1,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30596,147044,2025-11-17,1,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30597,147044,2025-11-17,1,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30598,147044,2025-11-17,1,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30599,147045,2025-11-17,12,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30600,147045,2025-11-17,12,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30601,147045,2025-11-17,12,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30602,147045,2025-11-17,12,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30603,147045,2025-11-17,12,4690,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30604,147046,2025-11-18,1,4690,1,113,Pep Set,Chão,Silica,\N,1,peça,1,2,8,0,8,8,15,120,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30605,147046,2025-11-18,1,4690,2,114,Cold Box Soprado,Sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30606,147046,2025-11-18,1,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30607,147046,2025-11-18,1,4690,4,385,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
