"id","_kf_producao","datafusao","ordenacao","_kf_fichatecnica","caixa","_kf_macho","processo","recurso","areia","peso","qtd_machos","qtd_machos_por","figuras","qtd_replicas","qtd_op","qtd_realizada","qtd_pendente","qtd_moldes","tempo_ciclo","tempo_total","not_before_date","deadline","datahoraprocess","_kf_statusintegration","statusintegrationid","status_create_date","dt"
"30792","144543","2025-11-19","12","2149","1","1287","Cold Box Gasado","Cold Box Pequena","Cromita","0","2","peça","3","2","512","0","1024","341","3","853","2025-11-17","2025-11-18","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30793","146345","2025-11-14","10","2671","23","2907","Cold Box Gasado","Cold Box Pequena","Silica","10","1","Molde","2","1","238","15","2","1","3","3","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30794","146558","2025-11-18","13","4758","1","2667","Pep Set","Carrossel","Silica","24","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30795","146558","2025-11-18","13","4758","2","2668","Pep Set","Carrossel","Silica","32","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30796","146558","2025-11-18","13","4758","3","2669","Pep Set","Carrossel","Silica","23","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30797","146558","2025-11-18","13","4758","4","2670","Pep Set","Carrossel","Silica","11","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30798","146558","2025-11-18","13","4758","5","2671","Pep Set","Carrossel","Silica","10","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30799","146558","2025-11-18","13","4758","6","2672","Pep Set","Carrossel","Silica","10","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30800","146558","2025-11-18","13","4758","7","2673","Pep Set","Carrossel","Silica","4","1","peça","1","1","14","0","14","14","1","18","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30801","146558","2025-11-18","13","4758","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","14","0","21","7","1","10","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30802","146611","2025-11-17","15","5155","1","2971","Pep Set","Carrossel","Silica","23","1","Molde","1","1","216","0","12","12","1","15","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30803","146776","2025-11-12","9","4396","1","2302","Cold Box Soprado","Sopradora","Silica","11","1","peça","1","1","48","8","40","40","1","57","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30804","146777","2025-11-14","15","4396","1","2302","Cold Box Soprado","Sopradora","Silica","11","1","peça","1","1","48","0","48","48","1","68","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30805","146778","2025-11-17","11","4396","1","2302","Cold Box Soprado","Sopradora","Silica","11","1","peça","1","1","48","0","48","48","1","68","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30806","146784","2025-11-17","4","4135","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","84","0","1","1","1","1","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30807","146792","2025-11-19","11","4748","1","2647","Pep Set","Carrossel","Silica","14","1","peça","1","1","36","0","36","36","1","45","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30808","146856","2025-11-17","8","3333","1","1843","Cold Box Gasado","Cold Box Pequena","Silica","0","1","peça","2","2","130","0","130","65","3","163","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30809","146923","2025-11-14","11","2671","23","2907","Cold Box Gasado","Cold Box Pequena","Silica","10","1","Molde","2","1","238","0","17","9","3","21","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30810","146963","2025-11-10","7","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-04","2025-11-06","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30811","146964","2025-11-11","5","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-05","2025-11-07","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30812","146965","2025-11-12","12","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30813","146966","2025-11-13","11","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","59","13","13","1","18","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30814","146966","2025-11-13","11","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30815","146967","2025-11-14","16","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30816","146967","2025-11-14","16","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30817","146968","2025-11-17","14","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30818","146968","2025-11-17","14","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30819","146969","2025-11-18","14","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30820","146969","2025-11-18","14","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30821","146995","2025-11-12","5","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30822","146995","2025-11-12","5","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30823","146996","2025-11-13","3","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","4","4","4","15","60","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30824","146996","2025-11-13","3","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30825","146996","2025-11-13","3","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30826","146997","2025-11-14","5","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30827","146997","2025-11-14","5","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30828","146997","2025-11-14","5","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30829","146997","2025-11-14","5","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30830","146998","2025-11-17","1","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30831","146998","2025-11-17","1","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30832","146998","2025-11-17","1","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30833","146998","2025-11-17","1","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30834","146999","2025-11-17","12","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30835","146999","2025-11-17","12","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30836","146999","2025-11-17","12","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30837","146999","2025-11-17","12","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30838","147000","2025-11-18","1","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30839","147000","2025-11-18","1","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30840","147000","2025-11-18","1","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30841","147000","2025-11-18","1","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30842","147001","2025-11-18","11","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30843","147001","2025-11-18","11","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30844","147001","2025-11-18","11","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30845","147001","2025-11-18","11","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30846","147002","2025-11-19","1","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30847","147002","2025-11-19","1","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30848","147002","2025-11-19","1","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30849","147002","2025-11-19","1","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30850","147003","2025-11-19","15","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30851","147003","2025-11-19","15","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30852","147003","2025-11-19","15","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30853","147003","2025-11-19","15","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30854","147041","2025-11-12","5","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30855","147041","2025-11-12","5","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30856","147042","2025-11-13","3","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30857","147042","2025-11-13","3","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30858","147042","2025-11-13","3","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30859","147043","2025-11-14","5","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30860","147043","2025-11-14","5","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30861","147043","2025-11-14","5","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30862","147043","2025-11-14","5","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30863","147044","2025-11-17","1","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30864","147044","2025-11-17","1","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30865","147044","2025-11-17","1","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30866","147044","2025-11-17","1","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30867","147044","2025-11-17","1","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30868","147045","2025-11-17","12","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30869","147045","2025-11-17","12","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30870","147045","2025-11-17","12","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30871","147045","2025-11-17","12","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30872","147045","2025-11-17","12","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30873","147046","2025-11-18","1","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30874","147046","2025-11-18","1","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30875","147046","2025-11-18","1","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30876","147046","2025-11-18","1","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30877","147046","2025-11-18","1","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30878","147047","2025-11-18","11","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
