_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
132718,8/18/2025,4,4668,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  0,75 ",peça,3,1,40,0,30,  10 ,  1 ,  14 ,8/12/2025,8/14/2025
132718,8/18/2025,4,4668,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,40,0,  1 ,  1 ,  1 ,  1 ,8/12/2025,8/14/2025
145391,8/18/2025,13,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/12/2025,8/14/2025
145584,8/18/2025,20,3345,1,1948,Pep Set,Vibrado,Silica,  106 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  28 ,  168 ,8/12/2025,8/14/2025
145702,8/19/2025,1,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,2,  6 ,  6 ,  28 ,  168 ,8/13/2025,8/15/2025
145812,8/19/2025,2,4758,7,2673,Pep Set,Carrossel,Silica,4,"  1,00 ",peça,1,1,14,11,3,  3 ,  1 ,  4 ,8/13/2025,8/15/2025
145736,8/19/2025,6,3072,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,56,0,  1 ,  1 ,  1 ,  1 ,8/13/2025,8/15/2025
146076,8/19/2025,11,4292,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,72,0,  1 ,  1 ,  1 ,  1 ,8/13/2025,8/15/2025
146108,8/19/2025,14,3963,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,  10 ,  1 ,Molde,2,1,24,0,  1 ,  1 ,  3 ,  1 ,8/13/2025,8/15/2025
146165,8/19/2025,14,604,24,2908,Cold Box Gasado,Cold Box Pequena,Silica,  10 ,  1 ,Molde,2,1,168,8,  6 ,  3 ,  3 ,  8 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,3,2692,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  6 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,4,2693,Cold Box Soprado,Sopradora,Silica,  1 ,  4 ,peça,4,1,8,0,  32 ,  8 ,  1 ,  11 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  1,50 ",peça,3,1,8,0,12,  4 ,  1 ,  6 ,8/13/2025,8/15/2025
145749,8/19/2025,16,947,1,87,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145749,8/19/2025,16,947,2,88,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,6,  14 ,  14 ,  1 ,  18 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,1,90,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,2,91,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,3,92,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,4,93,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145277,8/19/2025,20,944,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,16,0,  24 ,  8 ,  1 ,  11 ,8/13/2025,8/15/2025
145548,8/19/2025,21,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/13/2025,8/15/2025
145551,8/19/2025,21,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/13/2025,8/15/2025
145704,8/20/2025,1,4805,5,2694,Pep Set,Vibrado,Silica,"76,5","  1,00 ",peça,1,2,8,0,8,  8 ,  28 ,  224 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,6,2695,Pep Set,Carrossel,Silica,"8,47","  1,00 ",peça,1,1,8,0,8,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/14/2025,8/18/2025
145620,8/20/2025,2,4755,1,116,Pep Set,Chão,Silica,  13 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  15 ,  300 ,8/14/2025,8/18/2025
145620,8/20/2025,2,4755,3,2514,Cold Box Soprado,Sopradora,Silica,"3,46","  1,00 ",peça,4,1,20,0,20,  5 ,  1 ,  7 ,8/14/2025,8/18/2025
146013,8/19/2025,3,4576,1,2552,Pep Set,Chão,Cromita,  13 ,  1 ,peça,1,1,28,1,  27 ,  27 ,  15 ,  405 ,8/18/2025,8/18/2025
145705,8/20/2025,7,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/14/2025,8/18/2025
146077,8/20/2025,9,4292,1,1755,Cold Box Soprado,Sopradora,Silica,12,"  1,00 ",peça,1,1,72,0,72,  72 ,  1 ,  102 ,8/14/2025,8/18/2025
146077,8/20/2025,9,4292,30,2926,Pep Set,Carrossel,Silica,,"  1,00 ",Lote,1,1,72,0,1,  1 ,  1 ,  1 ,8/14/2025,8/18/2025
145750,8/20/2025,10,947,1,87,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145750,8/20/2025,10,947,2,88,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145750,8/20/2025,10,947,3,89,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145750,8/20/2025,10,947,4,94,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145756,8/20/2025,11,945,1,90,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145756,8/20/2025,11,945,2,91,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145756,8/20/2025,11,945,3,92,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145756,8/20/2025,11,945,4,93,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145250,8/20/2025,12,946,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  1,50 ",peça,3,1,16,0,24,  8 ,  1 ,  11 ,8/14/2025,8/18/2025
145941,8/20/2025,13,3203,1,1874,Pep Set,Carrossel,Silica,"7,14","  1,00 ",peça,1,1,28,0,28,  28 ,  1 ,  35 ,8/14/2025,8/18/2025
146018,8/20/2025,13,497,1,2175,Pep Set,Carrossel,Silica,"2,92","  1,00 ",peça,1,1,6,0,6,  6 ,  1 ,  8 ,8/14/2025,8/18/2025
146019,8/20/2025,13,387,1,2175,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  1 ,  8 ,8/14/2025,8/18/2025
146020,8/20/2025,13,384,1,258,Pep Set,Carrossel,Silica,  7 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
146020,8/20/2025,13,384,2,259,Pep Set,Carrossel,Silica,  4 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
146020,8/20/2025,13,384,3,260,Pep Set,Chão,Silica,  5 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  15 ,  120 ,8/14/2025,8/18/2025
146204,8/20/2025,14,4930,22,2906,Cold Box Gasado,Cold Box Pequena,Silica,  8 ,  1 ,Molde,2,1,315,0,  21 ,  11 ,  3 ,  26 ,8/14/2025,8/18/2025
145218,8/20/2025,15,5171,1,2929,Pep Set,Chão,Silica,28,"  1,00 ",peça,1,1,10,0,10,  10 ,  15 ,  150 ,8/14/2025,8/18/2025
145218,8/20/2025,15,5171,2,2930,Pep Set,Carrossel,Silica,,"  1,00 ",peça,1,1,10,0,10,  10 ,  1 ,  13 ,8/14/2025,8/18/2025
145549,8/20/2025,16,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145552,8/20/2025,16,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145552,8/20/2025,16,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
146094,8/20/2025,17,4518,1,2503,Pep Set,Carrossel,Silica,"1,8","  1,00 ",peça,1,1,16,0,16,  16 ,  1 ,  20 ,8/14/2025,8/18/2025
146095,8/20/2025,17,4519,1,2502,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/14/2025,8/18/2025
146144,8/20/2025,17,4487,1,2488,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
146145,8/20/2025,17,4504,1,2494,Pep Set,Carrossel,Silica,  6 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
146146,8/20/2025,17,4488,1,2489,Pep Set,Carrossel,Silica,  10 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
146147,8/20/2025,17,4494,1,2491,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,1,2562,Pep Set,Carrossel,Silica,  4 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,2,2563,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,3,2564,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,4,2565,Pep Set,Vibrado,Silica,  68 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  28 ,  168 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,5,2566,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,6,2567,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145598,8/20/2025,19,4621,7,2568,Pep Set,Carrossel,Silica,  9 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/14/2025,8/18/2025
145593,8/20/2025,21,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145593,8/20/2025,21,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145648,8/20/2025,21,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145648,8/20/2025,21,4690,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145630,8/20/2025,22,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145630,8/20/2025,22,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145630,8/20/2025,22,4689,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/14/2025,8/18/2025
145649,8/20/2025,22,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/14/2025,8/18/2025
145649,8/20/2025,22,4690,2,114,Pep Set,Carrossel,Silica,"2,665","  1,00 ",peça,2,1,8,0,8,  4 ,  1 ,  5 ,8/14/2025,8/18/2025
145649,8/20/2025,22,4690,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/14/2025,8/18/2025
145621,8/21/2025,1,4755,1,116,Pep Set,Chão,Silica,"12,5","  1,00 ",peça,1,2,20,0,20,  20 ,  15 ,  300 ,8/15/2025,8/19/2025
145621,8/21/2025,1,4755,3,2514,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,4,1,20,0,  20 ,  5 ,  1 ,  7 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145706,8/21/2025,2,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145567,8/21/2025,3,5090,1,2885,Pep Set,Carrossel,Silica,"1,4","  1,00 ",Peça,1,1,80,0,80,  80 ,  1 ,  100 ,8/15/2025,8/19/2025
145567,8/21/2025,3,5090,2,2886,Pep Set,Carrossel,Silica,3,"  1,00 ",Peça,1,1,80,0,80,  80 ,  1 ,  100 ,8/15/2025,8/19/2025
144268,8/21/2025,4,4835,1,2707,Cold Box Soprado,Sopradora,Silica,  4 ,  1 ,peça,4,2,40,0,  40 ,  10 ,  1 ,  14 ,8/15/2025,8/19/2025
145149,8/21/2025,6,4858,1,2735,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,14,1,70,0,  70 ,  5 ,  1 ,  7 ,8/15/2025,8/19/2025
145149,8/21/2025,6,4858,2,2736,Cold Box Soprado,Sopradora,Silica,  0 ,  1 ,peça,9,1,70,0,  70 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,3,2692,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,4,2693,Cold Box Soprado,Sopradora,Silica,  1 ,  4 ,peça,4,1,8,0,  32 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
145707,8/21/2025,7,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,1,1293,Pep Set,Chão,Silica areia nova,  36 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,2,1325,Pep Set,Chão,Silica areia nova,  33 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,3,1326,Pep Set,Chão,Silica areia nova,  39 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146192,8/21/2025,8,2172,4,1327,Pep Set,Chão,Silica areia nova,  13 ,  1 ,peça,1,1,5,0,  5 ,  5 ,  15 ,  75 ,8/15/2025,8/19/2025
146296,8/21/2025,8,4746,1,2666,Cold Box Gasado,Cold Box 4,Silica areia nova,"3,5","  1,00 ",peça,1,1,16,0,16,  16 ,  3 ,  40 ,8/15/2025,8/19/2025
146296,8/21/2025,8,4746,29,2925,Pep Set,Carrossel,Silica,,"  1,00 ",Lote,1,1,16,0,1,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
146352,8/21/2025,8,2167,1,1289,Pep Set,Chão,Silica areia nova,"30,3","  1,00 ",peça,1,1,6,0,6,  6 ,  15 ,  90 ,8/15/2025,8/19/2025
146352,8/21/2025,8,2167,2,1290,Pep Set,Chão,Silica areia nova,  6 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  15 ,  180 ,8/15/2025,8/19/2025
146352,8/21/2025,8,2167,29,2925,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,6,0,  1 ,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
145751,8/21/2025,9,947,1,87,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145751,8/21/2025,9,947,2,88,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145751,8/21/2025,9,947,3,89,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145751,8/21/2025,9,947,4,94,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
144292,8/21/2025,10,4859,1,2735,Cold Box Soprado,Sopradora,Silica,"1,158","  1,00 ",peça,14,1,70,0,70,  5 ,  1 ,  7 ,8/15/2025,8/19/2025
144292,8/21/2025,10,4859,2,2736,Cold Box Soprado,Sopradora,Silica,  0 ,  1 ,peça,9,1,70,0,  70 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145757,8/21/2025,11,945,1,90,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145757,8/21/2025,11,945,2,91,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
