_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
145757,8/21/2025,11,945,3,92,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145757,8/21/2025,11,945,4,93,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145996,8/21/2025,12,1629,1,980,Pep Set,Carrossel,Silica,  17 ,  1 ,peça,1,1,4,0,  4 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145999,8/21/2025,12,1799,1,925,Pep Set,Chão,Silica,  125 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/15/2025,8/19/2025
146000,8/21/2025,12,1725,1,921,Pep Set,Chão,Silica,  95 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/15/2025,8/19/2025
146004,8/20/2025,13,2512,1,1520,Pep Set,Chão,Cromita,  8 ,  1 ,peça,1,1,4,0,  4 ,  4 ,  15 ,  60 ,8/18/2025,8/19/2025
146004,8/20/2025,13,2512,2,1521,Pep Set,Chão,Cromita,  2 ,  1 ,peça,1,1,4,0,  4 ,  4 ,  15 ,  60 ,8/18/2025,8/19/2025
146152,8/21/2025,13,264,22,2906,Cold Box Gasado,Cold Box Pequena,Silica,  8 ,  1 ,Molde,2,1,238,0,  17 ,  9 ,  3 ,  21 ,8/15/2025,8/19/2025
146228,8/21/2025,14,604,24,2908,Cold Box Gasado,Cold Box Pequena,Silica,  10 ,  1 ,Molde,2,1,180,0,  15 ,  8 ,  3 ,  19 ,8/15/2025,8/19/2025
145480,8/21/2025,15,5170,1,2931,Pep Set,Chão,Silica,  30 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  15 ,  120 ,8/15/2025,8/19/2025
145480,8/21/2025,15,5170,2,2932,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
146104,8/21/2025,15,5171,1,2929,Pep Set,Chão,Silica,  28 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/15/2025,8/19/2025
146104,8/21/2025,15,5171,2,2930,Pep Set,Carrossel,Silica,,  1 ,peça,1,1,2,0,  2 ,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145631,8/21/2025,16,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/15/2025,8/19/2025
145631,8/21/2025,16,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145631,8/21/2025,16,4689,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145650,8/21/2025,16,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/15/2025,8/19/2025
145650,8/21/2025,16,4690,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145650,8/21/2025,16,4690,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  0,75 ",peça,3,1,8,0,6,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145278,8/21/2025,17,944,1,99,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/15/2025,8/19/2025
145278,8/21/2025,17,944,6,840,Cold Box Soprado,Sopradora,Silica,"1,56","  1,00 ",peça,4,1,16,0,16,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145278,8/21/2025,17,944,3,101,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145278,8/21/2025,17,944,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,16,0,  24 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145632,8/21/2025,18,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/15/2025,8/19/2025
145632,8/21/2025,18,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145632,8/21/2025,18,4689,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145651,8/21/2025,18,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/15/2025,8/19/2025
145651,8/21/2025,18,4690,2,114,Pep Set,Carrossel,Silica,"2,665","  1,00 ",peça,2,1,8,0,8,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145651,8/21/2025,18,4690,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145734,8/21/2025,19,4591,1,2501,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,6,1,160,0,  160 ,  27 ,  1 ,  38 ,8/15/2025,8/19/2025
145734,8/21/2025,19,4591,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,160,0,  1 ,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
145978,8/21/2025,19,4740,30,2926,Pep Set,Carrossel,Silica,,"  1,00 ",Lote,1,1,6,0,1,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
145979,8/21/2025,19,4293,30,2926,Pep Set,Carrossel,Silica,,"  1,00 ",Lote,1,1,12,0,1,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
145980,8/21/2025,19,4743,13,,Cold Box Gasado,Cold Box Pequena,Silica,"0,37","  1,00 ",peça,,0,8,0,8,  -   ,  3 ,  -   ,8/15/2025,8/19/2025
145980,8/21/2025,19,4743,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,8,0,  1 ,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
146175,8/21/2025,19,4550,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,80,0,  1 ,  1 ,  1 ,  1 ,8/15/2025,8/19/2025
145441,8/21/2025,20,4845,2,2880,Pep Set,Carrossel,Silica,"6,5","  1,00 ",peça,1,1,32,0,32,  32 ,  1 ,  40 ,8/15/2025,8/19/2025
145441,8/21/2025,20,4845,3,2881,Pep Set,Carrossel,Silica,"6,8","  1,00 ",peça,1,1,32,0,32,  32 ,  1 ,  40 ,8/15/2025,8/19/2025
145251,8/21/2025,22,946,1,102,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/15/2025,8/19/2025
145251,8/21/2025,22,946,6,840,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145251,8/21/2025,22,946,3,104,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
145251,8/21/2025,22,946,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,16,0,  24 ,  8 ,  1 ,  11 ,8/15/2025,8/19/2025
145628,8/22/2025,1,4755,1,116,Pep Set,Chão,Silica,  13 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  15 ,  300 ,8/18/2025,8/20/2025
145628,8/22/2025,1,4755,3,2514,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,4,1,20,0,  20 ,  5 ,  1 ,  7 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,3,2692,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,4,2693,Cold Box Soprado,Sopradora,Silica,  1 ,  4 ,peça,4,1,8,0,  32 ,  8 ,  1 ,  11 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,5,2694,Pep Set,Vibrado,Silica,"76,5","  1,00 ",peça,1,2,8,0,8,  8 ,  28 ,  224 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,6,2695,Pep Set,Carrossel,Silica,"8,47","  1,00 ",peça,1,1,8,0,8,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145708,8/22/2025,2,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
144269,8/22/2025,3,4835,1,2707,Cold Box Soprado,Sopradora,Silica,  4 ,  1 ,peça,4,2,40,0,  40 ,  10 ,  1 ,  14 ,8/18/2025,8/20/2025
144269,8/22/2025,3,4835,2,2708,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,2,40,0,  40 ,  20 ,  1 ,  28 ,8/18/2025,8/20/2025
144269,8/22/2025,3,4835,3,2709,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,2,2,40,0,  40 ,  20 ,  1 ,  28 ,8/18/2025,8/20/2025
145347,8/22/2025,4,4836,1,2715,Cold Box Soprado,Sopradora,Silica,  4 ,  1 ,peça,4,2,40,0,  40 ,  10 ,  1 ,  14 ,8/18/2025,8/20/2025
145347,8/22/2025,4,4836,2,2708,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,2,40,0,  40 ,  20 ,  1 ,  28 ,8/18/2025,8/20/2025
145347,8/22/2025,4,4836,3,2709,Cold Box Soprado,Sopradora,Silica,"1,3","  1,00 ",peça,2,2,40,0,40,  20 ,  1 ,  28 ,8/18/2025,8/20/2025
145150,8/22/2025,5,4858,1,2735,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,14,1,70,0,  70 ,  5 ,  1 ,  7 ,8/18/2025,8/20/2025
145150,8/22/2025,5,4858,2,2736,Cold Box Soprado,Sopradora,Silica,  0 ,  1 ,peça,9,1,70,0,  70 ,  8 ,  1 ,  11 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,1,2690,Cold Box Gasado,Cold Box 4,Silica,  3 ,  2 ,peça,1,1,8,0,  16 ,  16 ,  3 ,  40 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,2,2691,Cold Box Gasado,Cold Box 4,Silica,  3 ,  2 ,peça,1,1,8,0,  16 ,  16 ,  3 ,  40 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,3,2692,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,4,2693,Cold Box Soprado,Sopradora,Silica,  1 ,  4 ,peça,4,1,8,0,  32 ,  8 ,  1 ,  11 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,7,2696,Pep Set,Carrossel,Silica,"8,47","  1,00 ",peça,1,1,8,0,8,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
145709,8/22/2025,6,4805,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  1,50 ",peça,3,1,8,0,12,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,1,2562,Pep Set,Carrossel,Silica,  4 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,2,2563,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,3,2564,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,4,2565,Pep Set,Vibrado,Silica,  68 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  28 ,  168 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,5,2566,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,6,2567,Pep Set,Carrossel,Silica,  13 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,7,2568,Pep Set,Carrossel,Silica,  9 ,  2 ,peça,1,1,6,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
145794,8/22/2025,7,4621,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  3 ,peça,3,1,6,0,  18 ,  6 ,  1 ,  9 ,8/18/2025,8/20/2025
146148,8/22/2025,8,4493,1,2492,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,20,0,  20 ,  20 ,  1 ,  25 ,8/18/2025,8/20/2025
146149,8/22/2025,8,4507,1,2497,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,1,12,0,  12 ,  12 ,  1 ,  15 ,8/18/2025,8/20/2025
146150,8/22/2025,8,4506,1,2496,Pep Set,Carrossel,Silica,  6 ,  1 ,peça,1,1,20,0,  20 ,  20 ,  1 ,  25 ,8/18/2025,8/20/2025
146263,8/22/2025,8,4518,1,2503,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/18/2025,8/20/2025
146264,8/22/2025,8,4519,1,2502,Pep Set,Carrossel,Silica,  2 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/18/2025,8/20/2025
144505,8/22/2025,9,4859,1,2735,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,14,1,70,0,  70 ,  5 ,  1 ,  7 ,8/18/2025,8/20/2025
144505,8/22/2025,9,4859,2,2736,Cold Box Soprado,Sopradora,Silica,  0 ,  1 ,peça,9,1,70,0,  70 ,  8 ,  1 ,  11 ,8/18/2025,8/20/2025
145481,8/22/2025,10,5170,1,2931,Pep Set,Chão,Silica,  30 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  15 ,  120 ,8/18/2025,8/20/2025
145481,8/22/2025,10,5170,2,2932,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/18/2025,8/20/2025
146642,8/22/2025,10,5171,1,2929,Pep Set,Chão,Silica,  28 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/18/2025,8/20/2025
146642,8/22/2025,10,5171,2,2930,Pep Set,Carrossel,Silica,,  1 ,peça,1,1,2,0,  2 ,  2 ,  1 ,  3 ,8/18/2025,8/20/2025
145752,8/22/2025,11,947,1,87,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/18/2025,8/20/2025
145752,8/22/2025,11,947,2,88,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/18/2025,8/20/2025
145752,8/22/2025,11,947,3,89,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/18/2025,8/20/2025
145752,8/22/2025,11,947,4,94,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/18/2025,8/20/2025
145511,8/22/2025,12,4822,1,2612,Cold Box Soprado,Sopradora,Silica,  0 ,  2 ,peça,6,1,12,0,  24 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145511,8/22/2025,12,4822,2,2574,Cold Box Soprado,Sopradora,Silica,  0 ,  2 ,peça,6,1,12,0,  24 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145994,8/21/2025,12,1727,1,2875,Pep Set,Chão,Cromita,  6 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/19/2025,8/20/2025
146153,8/22/2025,13,551,22,2906,Cold Box Gasado,Cold Box Pequena,Silica,  8 ,  1 ,Molde,2,1,266,0,  19 ,  10 ,  3 ,  24 ,8/18/2025,8/20/2025
146203,8/22/2025,13,5065,1,2870,Cold Box Gasado,Cold Box Pequena,Silica,  3 ,  1 ,peça,1,1,20,0,  20 ,  20 ,  3 ,  50 ,8/18/2025,8/20/2025
146203,8/22/2025,13,5065,2,2871,Cold Box Gasado,Cold Box Pequena,Silica,  0 ,  1 ,peça,1,1,20,0,  20 ,  20 ,  3 ,  50 ,8/18/2025,8/20/2025
145252,8/22/2025,14,946,1,102,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/18/2025,8/20/2025
145252,8/22/2025,14,946,6,840,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145252,8/22/2025,14,946,3,104,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145252,8/22/2025,14,946,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,16,0,  24 ,  8 ,  1 ,  11 ,8/18/2025,8/20/2025
145480,8/21/2025,15,5170,3,2933,Pep Set,Chão,Cromita,  6 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  15 ,  120 ,8/19/2025,8/20/2025
145633,8/22/2025,15,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/18/2025,8/20/2025
145633,8/22/2025,15,4689,2,114,Pep Set,Carrossel,Silica,"2,665","  1,00 ",peça,2,1,8,0,8,  4 ,  1 ,  5 ,8/18/2025,8/20/2025
145633,8/22/2025,15,4689,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  0,75 ",peça,3,1,8,0,6,  2 ,  1 ,  3 ,8/18/2025,8/20/2025
145652,8/22/2025,15,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/18/2025,8/20/2025
145652,8/22/2025,15,4690,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/18/2025,8/20/2025
145652,8/22/2025,15,4690,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/18/2025,8/20/2025
145279,8/22/2025,17,944,1,99,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/18/2025,8/20/2025
145279,8/22/2025,17,944,6,840,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145279,8/22/2025,17,944,3,101,Cold Box Soprado,Sopradora,Silica,  1 ,  1 ,peça,4,1,16,0,  16 ,  4 ,  1 ,  6 ,8/18/2025,8/20/2025
145279,8/22/2025,17,944,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,16,0,  24 ,  8 ,  1 ,  11 ,8/18/2025,8/20/2025
145634,8/22/2025,18,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/18/2025,8/20/2025
145634,8/22/2025,18,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/18/2025,8/20/2025
145634,8/22/2025,18,4689,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/18/2025,8/20/2025
145653,8/22/2025,18,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/18/2025,8/20/2025
145653,8/22/2025,18,4690,2,114,Pep Set,Carrossel,Silica,"2,665","  1,00 ",peça,2,1,8,0,8,  4 ,  1 ,  5 ,8/18/2025,8/20/2025
145653,8/22/2025,18,4690,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  0,75 ",peça,3,1,8,0,6,  2 ,  1 ,  3 ,8/18/2025,8/20/2025
145635,8/22/2025,19,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/18/2025,8/20/2025
145635,8/22/2025,19,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/18/2025,8/20/2025
145635,8/22/2025,19,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,  3 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/18/2025,8/20/2025
