OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id,Status_Processed
145264,1.0,2919.0,pepset_carrossel,2025-09-16 15:00:00,2025-09-15,2025-09-16,,160,2025-09-16 12:10:00,10,
145291,1.0,2920.0,pepset_carrossel,2025-09-15 19:00:00,2025-09-15,2025-09-16,,160,2025-09-15 15:35:00,10,
145586,29.0,2925.0,pepset_carrossel,2025-09-15 04:30:00,2025-09-15,2025-09-16,,10,2025-09-15 04:20:00,10,
145763,1.0,90.0,pepset_carrossel,2025-09-15 14:55:00,2025-09-15,2025-09-16,,200,2025-09-15 11:25:00,10,
145763,2.0,91.0,pepset_carrossel,2025-09-15 17:35:00,2025-09-15,2025-09-16,,200,2025-09-15 14:15:00,10,
145763,3.0,92.0,pepset_carrossel,2025-09-15 20:50:00,2025-09-15,2025-09-16,,200,2025-09-15 16:45:00,10,
145763,4.0,93.0,pepset_carrossel,2025-09-15 11:25:00,2025-09-15,2025-09-16,,200,2025-09-15 07:20:00,10,
145798,1.0,2562.0,pepset_carrossel,2025-09-15 15:35:00,2025-09-15,2025-09-16,,120,2025-09-15 13:35:00,10,
145798,2.0,2563.0,pepset_carrossel,2025-09-15 14:15:00,2025-09-15,2025-09-16,,120,2025-09-15 12:05:00,10,
145798,3.0,2564.0,pepset_carrossel,2025-09-15 07:20:00,2025-09-15,2025-09-16,,120,2025-09-15 05:20:00,10,
145798,5.0,2566.0,pepset_carrossel,2025-09-15 13:35:00,2025-09-15,2025-09-16,,120,2025-09-15 11:25:00,10,
145798,6.0,2567.0,pepset_carrossel,2025-09-15 16:45:00,2025-09-15,2025-09-16,,120,2025-09-15 14:45:00,10,
145798,7.0,2568.0,pepset_carrossel,2025-09-15 12:05:00,2025-09-15,2025-09-16,,120,2025-09-15 10:05:00,10,
145858,2.0,114.0,pepset_carrossel,2025-09-15 20:20:00,2025-09-15,2025-09-16,,40,2025-09-15 19:40:00,10,
145859,2.0,114.0,pepset_carrossel,2025-09-15 04:40:00,2025-09-15,2025-09-16,,40,2025-09-15 04:00:00,10,
145860,2.0,114.0,pepset_carrossel,2025-09-15 06:00:00,2025-09-15,2025-09-16,,40,2025-09-15 05:20:00,10,
145861,2.0,114.0,pepset_carrossel,2025-09-15 05:20:00,2025-09-15,2025-09-16,,40,2025-09-15 04:40:00,10,
145862,2.0,114.0,pepset_carrossel,2025-09-15 17:35:00,2025-09-15,2025-09-16,,40,2025-09-15 16:55:00,10,
145863,2.0,114.0,pepset_carrossel,2025-09-15 06:40:00,2025-09-15,2025-09-16,,40,2025-09-15 06:00:00,10,
145864,2.0,114.0,pepset_carrossel,2025-09-16 07:10:00,2025-09-15,2025-09-16,,40,2025-09-16 06:30:00,10,
145865,2.0,114.0,pepset_carrossel,2025-09-16 06:00:00,2025-09-15,2025-09-16,,40,2025-09-16 05:20:00,10,
145962,2.0,669.0,pepset_carrossel,2025-09-15 05:20:00,2025-09-15,2025-09-16,,80,2025-09-15 04:00:00,10,
145962,3.0,670.0,pepset_carrossel,2025-09-15 06:40:00,2025-09-15,2025-09-16,,80,2025-09-15 05:20:00,10,
145963,2.0,669.0,pepset_carrossel,2025-09-16 06:30:00,2025-09-15,2025-09-16,,70,2025-09-16 05:20:00,10,
145963,3.0,670.0,pepset_carrossel,2025-09-16 07:40:00,2025-09-15,2025-09-16,,70,2025-09-16 06:30:00,10,
146209,2.0,114.0,pepset_carrossel,2025-09-15 08:00:00,2025-09-15,2025-09-16,,40,2025-09-15 07:20:00,10,
146210,2.0,114.0,pepset_carrossel,2025-09-15 19:40:00,2025-09-15,2025-09-16,,40,2025-09-15 19:00:00,10,
146211,2.0,114.0,pepset_carrossel,2025-09-15 08:40:00,2025-09-15,2025-09-16,,40,2025-09-15 08:00:00,10,
146212,2.0,114.0,pepset_carrossel,2025-09-15 10:05:00,2025-09-15,2025-09-16,,40,2025-09-15 08:40:00,10,
146213,2.0,114.0,pepset_carrossel,2025-09-15 07:20:00,2025-09-15,2025-09-16,,40,2025-09-15 06:40:00,10,
146214,2.0,114.0,pepset_carrossel,2025-09-15 19:00:00,2025-09-15,2025-09-16,,40,2025-09-15 17:35:00,10,
146215,2.0,114.0,pepset_carrossel,2025-09-16 04:40:00,2025-09-15,2025-09-16,,40,2025-09-16 04:00:00,10,
146216,2.0,114.0,pepset_carrossel,2025-09-16 05:20:00,2025-09-15,2025-09-16,,40,2025-09-16 04:40:00,10,
146221,1.0,87.0,pepset_carrossel,2025-09-16 20:10:00,2025-09-15,2025-09-16,,200,2025-09-16 16:05:00,10,
146221,2.0,88.0,pepset_carrossel,2025-09-16 15:40:00,2025-09-15,2025-09-16,,200,2025-09-16 12:10:00,10,
146221,3.0,89.0,pepset_carrossel,2025-09-16 16:05:00,2025-09-15,2025-09-16,,200,2025-09-16 12:35:00,10,
146221,4.0,94.0,pepset_carrossel,2025-09-16 20:10:00,2025-09-15,2025-09-16,,200,2025-09-16 16:05:00,10,
146237,6.0,2695.0,pepset_carrossel,2025-09-15 10:05:00,2025-09-15,2025-09-16,,80,2025-09-15 08:00:00,10,
146237,7.0,2696.0,pepset_carrossel,2025-09-15 07:10:00,2025-09-15,2025-09-16,,80,2025-09-15 05:50:00,10,
146237,8.0,2697.0,pepset_carrossel,2025-09-15 08:00:00,2025-09-15,2025-09-16,,80,2025-09-15 06:40:00,10,
146237,9.0,2698.0,pepset_carrossel,2025-09-15 11:25:00,2025-09-15,2025-09-16,,80,2025-09-15 10:05:00,10,
146252,6.0,2695.0,pepset_carrossel,2025-09-15 08:00:00,2025-09-15,2025-09-16,,80,2025-09-15 06:40:00,10,
146252,7.0,2696.0,pepset_carrossel,2025-09-15 08:30:00,2025-09-15,2025-09-16,,80,2025-09-15 07:10:00,10,
146252,8.0,2697.0,pepset_carrossel,2025-09-15 05:20:00,2025-09-15,2025-09-16,,80,2025-09-15 04:00:00,10,
146252,9.0,2698.0,pepset_carrossel,2025-09-15 15:35:00,2025-09-15,2025-09-16,,80,2025-09-15 14:15:00,10,
146253,6.0,2695.0,pepset_carrossel,2025-09-15 05:20:00,2025-09-15,2025-09-16,,80,2025-09-15 04:00:00,10,
146253,7.0,2696.0,pepset_carrossel,2025-09-15 10:35:00,2025-09-15,2025-09-16,,80,2025-09-15 08:30:00,10,
146253,8.0,2697.0,pepset_carrossel,2025-09-15 11:25:00,2025-09-15,2025-09-16,,80,2025-09-15 10:05:00,10,
146253,9.0,2698.0,pepset_carrossel,2025-09-15 12:45:00,2025-09-15,2025-09-16,,80,2025-09-15 11:25:00,10,
146254,6.0,2695.0,pepset_carrossel,2025-09-15 06:40:00,2025-09-15,2025-09-16,,80,2025-09-15 05:20:00,10,
146254,7.0,2696.0,pepset_carrossel,2025-09-15 05:50:00,2025-09-15,2025-09-16,,80,2025-09-15 04:30:00,10,
146254,8.0,2697.0,pepset_carrossel,2025-09-15 10:05:00,2025-09-15,2025-09-16,,80,2025-09-15 08:00:00,10,
146254,9.0,2698.0,pepset_carrossel,2025-09-15 14:15:00,2025-09-15,2025-09-16,,80,2025-09-15 12:45:00,10,
146255,6.0,2695.0,pepset_carrossel,2025-09-16 06:40:00,2025-09-15,2025-09-16,,80,2025-09-16 05:20:00,10,
146255,7.0,2696.0,pepset_carrossel,2025-09-16 10:35:00,2025-09-15,2025-09-16,,80,2025-09-16 08:30:00,10,
146255,8.0,2697.0,pepset_carrossel,2025-09-16 05:20:00,2025-09-15,2025-09-16,,80,2025-09-16 04:00:00,10,
146255,9.0,2698.0,pepset_carrossel,2025-09-16 09:55:00,2025-09-15,2025-09-16,,80,2025-09-16 07:50:00,10,
146256,6.0,2695.0,pepset_carrossel,2025-09-16 10:10:00,2025-09-15,2025-09-16,,80,2025-09-16 08:05:00,10,
146256,7.0,2696.0,pepset_carrossel,2025-09-16 08:30:00,2025-09-15,2025-09-16,,80,2025-09-16 07:10:00,10,
146256,8.0,2697.0,pepset_carrossel,2025-09-16 08:05:00,2025-09-15,2025-09-16,,80,2025-09-16 06:45:00,10,
146256,9.0,2698.0,pepset_carrossel,2025-09-16 05:20:00,2025-09-15,2025-09-16,,80,2025-09-16 04:00:00,10,
146283,1.0,2909.0,pepset_carrossel,2025-09-15 12:35:00,2025-09-15,2025-09-16,,120,2025-09-15 10:35:00,10,
146284,1.0,2909.0,pepset_carrossel,2025-09-16 12:05:00,2025-09-15,2025-09-16,,120,2025-09-16 10:05:00,10,
146319,30.0,2926.0,pepset_carrossel,2025-09-15 04:20:00,2025-09-15,2025-09-16,,10,2025-09-15 04:10:00,10,
146504,30.0,2926.0,pepset_carrossel,2025-09-16 17:25:00,2025-09-15,2025-09-16,,10,2025-09-16 17:15:00,10,
146512,2.0,829.0,pepset_carrossel,2025-09-15 20:10:00,2025-09-15,2025-09-16,,120,2025-09-15 17:25:00,10,
146512,5.0,839.0,pepset_carrossel,2025-09-15 16:55:00,2025-09-15,2025-09-16,,120,2025-09-15 14:55:00,10,
146512,8.0,2215.0,pepset_carrossel,2025-09-15 14:45:00,2025-09-15,2025-09-16,,120,2025-09-15 12:35:00,10,
146518,2.0,836.0,pepset_carrossel,2025-09-16 17:15:00,2025-09-15,2025-09-16,,120,2025-09-16 15:15:00,10,
146518,5.0,832.0,pepset_carrossel,2025-09-16 12:10:00,2025-09-15,2025-09-16,,120,2025-09-16 10:10:00,10,
146518,8.0,2215.0,pepset_carrossel,2025-09-16 12:35:00,2025-09-15,2025-09-16,,120,2025-09-16 10:35:00,10,
146640,30.0,2926.0,pepset_carrossel,2025-09-16 15:15:00,2025-09-15,2025-09-16,,10,2025-09-16 15:05:00,10,
146697,30.0,2926.0,pepset_carrossel,2025-09-15 04:10:00,2025-09-15,2025-09-16,,10,2025-09-15 04:00:00,10,
145946,1.0,2854.0,pepset_chao,2025-09-19 04:30:00,2025-09-15,2025-09-16,,15,2025-09-19 04:15:00,10,
145947,1.0,2854.0,pepset_chao,2025-09-19 04:15:00,2025-09-15,2025-09-16,,15,2025-09-19 04:00:00,10,
145962,1.0,668.0,pepset_chao,2025-09-15 10:15:00,2025-09-15,2025-09-16,,120,2025-09-15 07:30:00,10,
145963,1.0,668.0,pepset_chao,2025-09-16 06:00:00,2025-09-15,2025-09-16,,105,2025-09-16 04:15:00,10,
145970,1.0,1211.0,pepset_chao,2025-09-15 15:55:00,2025-09-15,2025-09-16,,210,2025-09-15 12:15:00,10,
146021,1.0,2866.0,pepset_chao,2025-09-15 22:40:00,2025-09-15,2025-09-16,,600,2025-09-15 11:45:00,10,
146238,1.0,116.0,pepset_chao,2025-09-15 21:40:00,2025-09-15,2025-09-16,,300,2025-09-15 15:55:00,10,
146239,1.0,116.0,pepset_chao,2025-09-16 14:55:00,2025-09-15,2025-09-16,,300,2025-09-16 09:45:00,10,
146325,3.0,2833.0,pepset_chao,2025-09-15 12:15:00,2025-09-15,2025-09-16,,120,2025-09-15 10:15:00,10,
146512,1.0,835.0,pepset_chao,2025-09-15 11:45:00,2025-09-15,2025-09-16,,180,2025-09-15 08:00:00,10,
146518,1.0,828.0,pepset_chao,2025-09-16 09:00:00,2025-09-15,2025-09-16,,180,2025-09-16 06:00:00,10,
146702,1.0,2225.0,pepset_chao,2025-09-16 04:15:00,2025-09-15,2025-09-16,,15,2025-09-16 04:00:00,10,
146869,1.0,2820.0,pepset_chao,2025-09-15 08:00:00,2025-09-15,2025-09-16,,60,2025-09-15 07:00:00,10,
146869,2.0,2821.0,pepset_chao,2025-09-15 07:30:00,2025-09-15,2025-09-16,,60,2025-09-15 06:30:00,10,
146870,1.0,2817.0,pepset_chao,2025-09-15 06:30:00,2025-09-15,2025-09-16,,60,2025-09-15 05:30:00,10,
146870,2.0,2818.0,pepset_chao,2025-09-15 05:30:00,2025-09-15,2025-09-16,,60,2025-09-15 04:30:00,10,
146870,3.0,2819.0,pepset_chao,2025-09-15 06:00:00,2025-09-15,2025-09-16,,60,2025-09-15 05:00:00,10,
146890,1.0,913.0,pepset_chao,2025-09-15 05:00:00,2025-09-15,2025-09-16,,30,2025-09-15 04:30:00,10,
146892,1.0,912.0,pepset_chao,2025-09-15 04:30:00,2025-09-15,2025-09-16,,30,2025-09-15 04:00:00,10,
146893,1.0,911.0,pepset_chao,2025-09-15 07:00:00,2025-09-15,2025-09-16,,60,2025-09-15 06:00:00,10,
146894,1.0,910.0,pepset_chao,2025-09-15 04:30:00,2025-09-15,2025-09-16,,30,2025-09-15 04:00:00,10,
145798,4.0,2565.0,pepset_vibrado,2025-09-16 02:55:00,2025-09-15,2025-09-18,A,175,2025-09-16 00:00:00,10,
146233,5.0,2694.0,pepset_vibrado,2025-09-15 03:55:00,2025-09-15,2025-09-16,A,235,2025-09-15 00:00:00,10,
146234,5.0,2694.0,pepset_vibrado,2025-09-15 07:50:00,2025-09-15,2025-09-16,A,235,2025-09-15 03:55:00,10,
146235,5.0,2694.0,pepset_vibrado,2025-09-16 06:50:00,2025-09-15,2025-09-17,A,235,2025-09-16 02:55:00,10,
146236,5.0,2694.0,pepset_vibrado,2025-09-16 10:45:00,2025-09-15,2025-09-17,A,235,2025-09-16 06:50:00,10,
146237,5.0,2694.0,pepset_vibrado,2025-09-17 03:55:00,2025-09-15,2025-09-18,A,235,2025-09-17 00:00:00,10,
146252,5.0,2694.0,pepset_vibrado,2025-09-16 14:40:00,2025-09-15,2025-09-18,A,235,2025-09-16 10:45:00,10,
146253,5.0,2694.0,pepset_vibrado,2025-09-18 03:55:00,2025-09-15,2025-09-19,A,235,2025-09-18 00:00:00,10,
146254,5.0,2694.0,pepset_vibrado,2025-09-17 07:50:00,2025-09-15,2025-09-19,A,235,2025-09-17 03:55:00,10,
146255,5.0,2694.0,pepset_vibrado,2025-09-17 11:45:00,2025-09-16,2025-09-20,A,235,2025-09-17 07:50:00,10,
146256,5.0,2694.0,pepset_vibrado,2025-09-17 15:40:00,2025-09-16,2025-09-20,A,235,2025-09-17 11:45:00,10,
145797,4.0,2565.0,pepset_vibrado,2025-09-15 10:45:00,2025-09-15,2025-09-16,A,175,2025-09-15 07:50:00,10,
146118,5.0,2694.0,pepset_vibrado,2025-09-15 14:40:00,2025-09-15,2025-09-16,A,235,2025-09-15 10:45:00,10,
145264,6.0,840.0,coldboxsoprado_sopradora,2025-09-16 00:15:00,2025-09-16,2025-09-20,A,15,2025-09-16 00:00:00,10,
145264,7.0,834.0,coldboxsoprado_sopradora,2025-09-16 00:30:00,2025-09-16,2025-09-20,A,15,2025-09-16 00:15:00,10,
145264,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 00:50:00,2025-09-16,2025-09-20,A,20,2025-09-16 00:30:00,10,
145291,6.0,840.0,coldboxsoprado_sopradora,2025-09-16 01:05:00,2025-09-15,2025-09-19,A,15,2025-09-16 00:50:00,10,
145291,7.0,841.0,coldboxsoprado_sopradora,2025-09-16 01:20:00,2025-09-15,2025-09-19,A,15,2025-09-16 01:05:00,10,
145291,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 01:40:00,2025-09-15,2025-09-19,A,20,2025-09-16 01:20:00,10,
145676,1.0,2612.0,coldboxsoprado_sopradora,2025-09-16 02:00:00,2025-09-15,2025-09-17,A,20,2025-09-16 01:40:00,10,
145676,2.0,2574.0,coldboxsoprado_sopradora,2025-09-16 02:20:00,2025-09-15,2025-09-17,A,20,2025-09-16 02:00:00,10,
145677,1.0,2612.0,coldboxsoprado_sopradora,2025-09-16 02:40:00,2025-09-15,2025-09-18,A,20,2025-09-16 02:20:00,10,
145677,2.0,2574.0,coldboxsoprado_sopradora,2025-09-16 03:00:00,2025-09-15,2025-09-18,A,20,2025-09-16 02:40:00,10,
145745,2.0,117.0,coldboxsoprado_sopradora,2025-09-15 00:20:00,2025-09-15,2025-09-16,A,20,2025-09-15 00:00:00,10,
145745,3.0,2514.0,coldboxsoprado_sopradora,2025-09-15 00:35:00,2025-09-15,2025-09-16,B,15,2025-09-15 00:20:00,10,
145798,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 03:20:00,2025-09-15,2025-09-18,A,20,2025-09-16 03:00:00,10,
145853,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 00:50:00,2025-09-15,2025-09-16,A,15,2025-09-15 00:35:00,10,
145853,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 01:05:00,2025-09-15,2025-09-16,A,15,2025-09-15 00:50:00,10,
145854,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 01:20:00,2025-09-15,2025-09-16,A,15,2025-09-15 01:05:00,10,
145854,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 01:35:00,2025-09-15,2025-09-16,A,15,2025-09-15 01:20:00,10,
145855,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 01:50:00,2025-09-15,2025-09-16,A,15,2025-09-15 01:35:00,10,
145855,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 02:05:00,2025-09-15,2025-09-16,A,15,2025-09-15 01:50:00,10,
145856,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 02:20:00,2025-09-15,2025-09-17,A,15,2025-09-15 02:05:00,10,
145856,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 02:35:00,2025-09-15,2025-09-17,A,15,2025-09-15 02:20:00,10,
145857,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 02:50:00,2025-09-15,2025-09-17,A,15,2025-09-15 02:35:00,10,
145857,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 03:05:00,2025-09-15,2025-09-17,A,15,2025-09-15 02:50:00,10,
145858,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 03:20:00,2025-09-15,2025-09-18,A,15,2025-09-15 03:05:00,10,
145858,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 03:35:00,2025-09-15,2025-09-18,A,15,2025-09-15 03:20:00,10,
145859,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 03:50:00,2025-09-15,2025-09-18,A,15,2025-09-15 03:35:00,10,
145859,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 04:05:00,2025-09-15,2025-09-18,A,15,2025-09-15 03:50:00,10,
145860,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 04:20:00,2025-09-15,2025-09-18,A,15,2025-09-15 04:05:00,10,
145860,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 04:35:00,2025-09-15,2025-09-18,A,15,2025-09-15 04:20:00,10,
145861,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 04:50:00,2025-09-15,2025-09-19,A,15,2025-09-15 04:35:00,10,
145861,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 05:05:00,2025-09-15,2025-09-19,A,15,2025-09-15 04:50:00,10,
145862,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 05:20:00,2025-09-15,2025-09-19,A,15,2025-09-15 05:05:00,10,
145862,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 05:35:00,2025-09-15,2025-09-19,A,15,2025-09-15 05:20:00,10,
145863,4.0,386.0,coldboxsoprado_sopradora,2025-09-15 05:50:00,2025-09-15,2025-09-19,A,15,2025-09-15 05:35:00,10,
145863,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 06:05:00,2025-09-15,2025-09-19,A,15,2025-09-15 05:50:00,10,
145864,4.0,386.0,coldboxsoprado_sopradora,2025-09-16 03:35:00,2025-09-16,2025-09-20,A,15,2025-09-16 03:20:00,10,
145864,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 03:50:00,2025-09-16,2025-09-20,A,15,2025-09-16 03:35:00,10,
145865,4.0,386.0,coldboxsoprado_sopradora,2025-09-16 04:05:00,2025-09-16,2025-09-20,A,15,2025-09-16 03:50:00,10,
145865,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 04:20:00,2025-09-16,2025-09-20,A,15,2025-09-16 04:05:00,10,
146089,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 06:20:00,2025-09-15,2025-09-16,A,15,2025-09-15 06:05:00,10,
146089,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 06:35:00,2025-09-15,2025-09-16,A,15,2025-09-15 06:20:00,10,
146122,2.0,117.0,coldboxsoprado_sopradora,2025-09-16 04:40:00,2025-09-15,2025-09-17,A,20,2025-09-16 04:20:00,10,
146122,3.0,2514.0,coldboxsoprado_sopradora,2025-09-15 06:50:00,2025-09-15,2025-09-17,B,15,2025-09-15 06:35:00,10,
146126,1.0,2612.0,coldboxsoprado_sopradora,2025-09-16 05:00:00,2025-09-15,2025-09-19,A,20,2025-09-16 04:40:00,10,
146126,2.0,2574.0,coldboxsoprado_sopradora,2025-09-16 05:20:00,2025-09-15,2025-09-19,A,20,2025-09-16 05:00:00,10,
146127,1.0,2612.0,coldboxsoprado_sopradora,2025-09-16 05:40:00,2025-09-16,2025-09-20,A,20,2025-09-16 05:20:00,10,
146127,2.0,2574.0,coldboxsoprado_sopradora,2025-09-16 06:00:00,2025-09-16,2025-09-20,A,20,2025-09-16 05:40:00,10,
146128,1.0,2612.0,coldboxsoprado_sopradora,2025-09-16 06:20:00,2025-09-16,2025-09-20,A,20,2025-09-16 06:00:00,10,
146128,2.0,2574.0,coldboxsoprado_sopradora,2025-09-16 06:40:00,2025-09-16,2025-09-20,A,20,2025-09-16 06:20:00,10,
146205,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 07:05:00,2025-09-15,2025-09-16,A,15,2025-09-15 06:50:00,10,
146205,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 07:20:00,2025-09-15,2025-09-16,A,15,2025-09-15 07:05:00,10,
146206,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 07:35:00,2025-09-15,2025-09-16,A,15,2025-09-15 07:20:00,10,
146206,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 07:50:00,2025-09-15,2025-09-16,A,15,2025-09-15 07:35:00,10,
146207,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 08:05:00,2025-09-15,2025-09-17,A,15,2025-09-15 07:50:00,10,
146207,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 08:20:00,2025-09-15,2025-09-17,A,15,2025-09-15 08:05:00,10,
146208,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 08:35:00,2025-09-15,2025-09-17,A,15,2025-09-15 08:20:00,10,
146208,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 08:50:00,2025-09-15,2025-09-17,A,15,2025-09-15 08:35:00,10,
146209,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 09:05:00,2025-09-15,2025-09-18,A,15,2025-09-15 08:50:00,10,
146209,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 09:20:00,2025-09-15,2025-09-18,A,15,2025-09-15 09:05:00,10,
146210,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 09:35:00,2025-09-15,2025-09-18,A,15,2025-09-15 09:20:00,10,
146210,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 09:50:00,2025-09-15,2025-09-18,A,15,2025-09-15 09:35:00,10,
146211,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 10:05:00,2025-09-15,2025-09-18,A,15,2025-09-15 09:50:00,10,
146211,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 10:20:00,2025-09-15,2025-09-18,A,15,2025-09-15 10:05:00,10,
146212,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 10:35:00,2025-09-15,2025-09-19,A,15,2025-09-15 10:20:00,10,
146212,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 10:50:00,2025-09-15,2025-09-19,A,15,2025-09-15 10:35:00,10,
146213,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 11:05:00,2025-09-15,2025-09-19,A,15,2025-09-15 10:50:00,10,
146213,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 11:20:00,2025-09-15,2025-09-19,A,15,2025-09-15 11:05:00,10,
146214,4.0,385.0,coldboxsoprado_sopradora,2025-09-15 11:35:00,2025-09-15,2025-09-19,A,15,2025-09-15 11:20:00,10,
146214,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 11:50:00,2025-09-15,2025-09-19,A,15,2025-09-15 11:35:00,10,
146215,4.0,385.0,coldboxsoprado_sopradora,2025-09-16 06:55:00,2025-09-16,2025-09-20,A,15,2025-09-16 06:40:00,10,
146215,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 07:10:00,2025-09-16,2025-09-20,A,15,2025-09-16 06:55:00,10,
146216,4.0,385.0,coldboxsoprado_sopradora,2025-09-16 07:25:00,2025-09-16,2025-09-20,A,15,2025-09-16 07:10:00,10,
